asset,mu,omega,alpha,beta,theta,nu,persistence
AAPL,0.00111511525332654,6.209599277231178e-06,0.051404107103058316,0.8764923532867468,0.498387603385565,5.254578328982563,0.9278964603898051
AMZN,0.0008053047387821316,1.2494502216837947e-05,0.04490455920644159,0.8727293845600321,0.49797339965417864,5.41282151281996,0.9176339437664737
GLD,0.0009219966108476357,4.926316335018138e-06,0.027241976492773365,0.8689812334335126,0.4963857584374808,5.634530935818871,0.896223209926286
GOOGL,0.0010787307205826421,1.249813309385875e-05,0.041254947681179,0.870489796127989,0.498060356520834,5.847226685622993,0.911744743809168
IWM,0.0002432746072262678,4.676995860020036e-06,0.05447192235438872,0.8783392247641357,0.4989356984185138,5.142278703429783,0.9328111471185244
JPM,0.0009947232737608988,8.9076949020188e-06,0.07479907383895487,0.7985502973961798,0.6835832990301978,4.816826559177593,0.8733493712351347
MSFT,0.0010471345517313302,5.129409211264004e-06,0.05201958266298636,0.8784567562489903,0.4984833053804214,5.921836308011443,0.9304763389119767
NFLX,0.0009023971519866454,1.6736450194139553e-05,0.03437994539732285,0.8632763774900065,0.49742531067751883,4.095341675393744,0.8976563228873293
NVDA,0.0025356574456003034,2.3771043149207673e-05,0.04861123266780578,0.8750897800074734,0.4982225804224358,5.166508982297858,0.9237010126752792
QQQ,0.0013157008396753494,2.331951379257137e-06,0.059810720585042956,0.8814961617186949,0.4989418962612043,5.84131709702199,0.9413068823037379
SPY,0.0009239745703021652,2.179195354824493e-06,0.125049767199749,0.762038212753521,0.5172319326316387,4.741623690245468,0.88708797995327
TLT,-0.00028039701458771915,2.938879647038698e-06,0.04660777536536978,0.8748075309819541,0.49767878595485554,5.177444758547079,0.9214153063473238
TSLA,0.0014596634991241475,1.1654075344295228e-05,0.02645078367256658,0.9427743363109437,0.49351653692336955,6.119971352290728,0.9692251199835102
V,0.0007595695232763363,3.888326221714921e-06,0.05154307841706792,0.8762894672218103,0.4983943866126881,4.883785534282508,0.9278325456388783
