factor,nu,hidden_size,n_layers,alpha_pit,lr,dropout,loglikelihood,loglikelihood_oos,mse_train,mse_test,ks_p_train,ks_p_test
G_PC_1,3.586,32,1,50.3,0.0009432449763537825,0.33334307974443933,-0.3999,-0.3209,0.184813,0.165657,0.967,0.999
G_PC_2,3.084,32,1,52.3,0.0009991003201259624,0.3400106975256368,-0.3592,-0.2307,0.119845,0.088533,0.219,0.1037
G_PC_3,3.069,32,1,51.0,0.0009441496574129754,0.3260947891235128,0.9214,0.9031,0.010099,0.008764,0.9784,0.6324
L_PC_AAPL_1,3.793,32,2,50.2,0.0007892156319808313,0.36633234125084274,-0.4796,-0.4701,0.165318,0.145371,0.9752,0.6969
L_PC_AAPL_2,3.596,32,1,55.2,0.0007932826071624594,0.13281070010694757,-0.1226,-0.1254,0.075981,0.075216,0.9902,0.5896
L_PC_AAPL_3,3.432,32,1,50.1,0.0006425506284544471,0.2612876398094674,0.4047,0.6213,0.02667,0.019729,0.93,0.379
L_PC_AMZN_1,3.733,32,1,51.3,0.0005586995596492627,0.32077921701922096,-0.9692,-0.8386,0.40767,0.311804,0.6696,0.312
L_PC_AMZN_2,3.567,32,1,50.1,0.0005341893910352136,0.30187402584902595,0.0279,-0.1723,0.070591,0.083764,0.9832,0.2359
L_PC_AMZN_3,3.126,32,1,50.2,0.0009037253357066297,0.38616987255227553,0.4893,0.2789,0.027156,0.035067,0.9975,0.2465
L_PC_GLD_1,3.782,32,1,61.8,0.0005643848210885477,0.35950240857148896,-0.7148,-0.7502,0.267966,0.265845,0.9965,0.2179
L_PC_GLD_2,3.635,32,1,50.4,0.00084999706039859,0.3369301834024491,-0.0954,0.0584,0.070367,0.048626,0.9799,0.2717
L_PC_GLD_3,3.747,32,1,50.8,0.00036540346929611015,0.28408727059466565,0.2949,0.151,0.033505,0.037105,0.8455,0.4621
L_PC_GOOGL_1,3.664,32,1,50.8,0.0009018718447611288,0.3218003044106049,-0.7822,-2.4556,0.293772,0.23844,0.8903,0.0
L_PC_GOOGL_2,3.338,32,1,50.4,0.0009281268367974289,0.28774135672267476,-0.1746,-0.2109,0.121694,0.099827,0.9619,0.8865
L_PC_GOOGL_3,3.093,32,2,52.9,0.0009153078385003613,0.33018727029218375,-0.139,-0.0446,0.087467,0.065907,0.8548,0.125
L_PC_GOOGL_4,3.466,32,1,50.1,0.0005562278403127513,0.3090365866278287,0.5462,0.4721,0.020587,0.020868,0.9239,0.5668
L_PC_IWM_1,3.809,32,1,51.3,0.0004319583241200951,0.21197750296770498,-0.2682,0.0591,0.11945,0.049129,0.973,0.1188
L_PC_IWM_2,3.549,32,1,50.5,0.0007742512023472739,0.3252991708037578,-0.3908,-0.2723,0.125606,0.097297,0.9318,0.1157
L_PC_IWM_3,3.648,32,1,51.3,0.0005586995596492627,0.32077921701922096,-0.5008,-0.1526,0.223832,0.082279,0.9845,0.0509
L_PC_JPM_1,3.799,32,1,50.0,0.000635649409910365,0.2524072551880485,-0.8246,-0.6629,0.293439,0.216218,0.8839,0.4257
L_PC_JPM_2,3.429,32,1,50.8,0.0009018718447611288,0.3218003044106049,-0.629,-0.4586,0.239195,0.176188,0.9865,0.1376
L_PC_JPM_3,3.781,32,1,59.4,0.0003472717580472519,0.3740947654190499,-0.1014,0.0004,0.073336,0.061248,0.9378,0.2976
L_PC_MSFT_1,3.707,32,1,50.8,0.0005896245720284437,0.348244890594598,-0.0749,-0.0342,0.08203,0.064584,0.9732,0.2999
L_PC_MSFT_2,2.965,32,1,50.4,0.0008209502825839626,0.333235153941524,0.3347,0.1301,0.029239,0.033457,0.8142,0.0289
L_PC_MSFT_3,3.301,32,1,50.3,0.0009730876909593379,0.10080038838318442,-0.0884,-0.3014,0.079053,0.113861,0.9617,0.3951
L_PC_NFLX_1,3.419,32,2,52.5,0.0009454913894425338,0.33493167532974977,-0.7988,-0.7122,0.341534,0.245378,0.6062,0.4519
L_PC_NFLX_2,3.643,32,1,50.3,0.0003686384464380299,0.3484460207795669,-0.1835,-0.3996,0.158928,0.16613,0.9698,0.1712
L_PC_NFLX_3,3.078,32,1,50.2,0.0009037253357066297,0.38616987255227553,-0.156,-0.1946,0.085766,0.090656,0.378,0.8563
L_PC_NVDA_1,3.432,16,1,55.9,0.0009949842824037594,0.33284952798733625,-0.6415,-0.4802,0.440904,0.181072,0.992,0.0552
L_PC_NVDA_2,3.794,32,2,58.7,0.0002441985789293367,0.11244738414850589,-0.4818,-0.3263,0.36443,0.132148,0.9862,0.6411
L_PC_NVDA_3,3.396,16,1,50.0,0.0007335369888822957,0.10779322890173844,0.2461,0.4562,0.075285,0.023105,0.9989,0.4281
L_PC_QQQ_1,3.655,32,2,50.5,0.0009142165282289839,0.1835019165130513,-0.1145,0.0197,0.083739,0.051463,0.9477,0.0022
L_PC_QQQ_2,3.836,32,1,50.1,0.0005070747199913713,0.2683414230377148,-0.1594,-0.513,0.086163,0.146766,0.9428,0.1161
L_PC_QQQ_3,3.763,16,2,50.3,0.000493172476124277,0.36640301729940883,-0.2092,-0.3529,0.086432,0.100588,0.984,0.1311
L_PC_SPY_1,3.864,32,1,50.1,0.0005733279778025017,0.30641706587279155,-0.3004,-0.1864,0.113172,0.081971,0.9193,0.4953
L_PC_SPY_2,3.809,32,1,50.1,0.0006598898697485252,0.2972907229506394,-0.6956,-0.7619,0.259152,0.259551,0.9399,0.6517
L_PC_SPY_3,3.654,32,1,50.3,0.0008746147776298623,0.38174627565993147,-0.1821,-0.1114,0.085464,0.071741,0.8147,0.3659
L_PC_TLT_1,3.671,32,1,59.9,0.0009863223636570396,0.34614167595600753,-0.9575,-0.8374,0.39779,0.366071,0.981,0.2564
L_PC_TLT_2,3.663,32,1,50.1,0.0005055219893896739,0.23024273904415363,-0.9475,-0.8807,0.450295,0.409176,0.9807,0.3026
L_PC_TLT_3,3.808,32,1,55.2,0.0002976864831064375,0.2405604619624213,-0.013,0.1544,0.062675,0.04715,0.9874,0.6637
L_PC_TLT_4,3.828,32,1,55.9,0.00038660673730258173,0.2673302826749144,-0.5291,-0.1435,0.170788,0.079888,0.9543,0.0029
L_PC_TLT_5,3.75,32,1,50.5,0.00044928737752178064,0.32451430569002127,0.2058,0.2158,0.041283,0.053954,0.9726,0.4851
L_PC_TSLA_1,3.756,32,1,50.4,0.0009374595950516341,0.10213909529164267,-0.8135,-0.7288,0.331653,0.243894,0.9749,0.3974
L_PC_TSLA_2,3.814,32,1,53.9,0.0003046995518924871,0.32594253018737096,-0.0227,0.1344,0.063295,0.046515,0.9006,0.2329
L_PC_TSLA_3,3.353,32,1,50.2,0.0009037253357066297,0.3252991708037578,-0.0371,-0.0194,0.06577,0.061052,0.9027,0.3791
L_PC_V_1,3.83,32,1,51.0,0.00046353160625281416,0.2696638875111991,-0.5905,-0.5,0.19041,0.153233,0.897,0.3764
L_PC_V_2,3.586,32,1,53.4,0.0007352778694586624,0.3220609987407968,-0.5044,-0.4449,0.186882,0.1435,0.9736,0.8768
L_PC_V_3,3.836,32,1,60.5,0.0003337263199621966,0.16547981148922097,-0.0233,0.0664,0.065672,0.05294,0.9557,0.6544
